ticker,side
KXNBAGAME-26MAR01SASNYK-NYK,YES
KXNBAGAME-26MAR01NOPLAC-LAC,NO
KXNCAAMBGAME-26MAR01CHARFAU-CHAR,YES
KXNBAGAME-26MAR02BOSMIL-MIL,YES
KXNCAAMBGAME-26MAR02DUKENCST-NCST,YES
KXNCAAMBGAME-26MAR02MTSTNAU-NAU,YES
KXNCAAMBGAME-26MAR03TENNSCAR-SCAR,YES
KXNCAAMBGAME-26MAR03EMUBUFF-BUFF,NO
KXNCAAMBGAME-26MAR03WAKEUVA-WAKE,YES
KXNCAAMBGAME-26MAR03HAMPWM-HAMP,YES
KXNCAAMBGAME-26MAR03DREXHOF-DREX,YES
KXNCAAMBGAME-26MAR03GTWNSJU-GTWN,YES
KXNCAAMBGAME-26MAR03ARPBJKST-ARPB,YES
KXNCAAMBGAME-26MAR03MSSTFLA-MSST,YES
KXNCAAMBGAME-26MAR03OREILL-ORE,YES
KXNCAAMBGAME-26MAR03BCVT-VT,NO
KXNCAAMBGAME-26MAR03SYRLOU-SYR,YES
KXNCAAMBGAME-26MAR03MVSUALCN-MVSU,YES
KXNBAGAME-26MAR04OKCNYK-OKC,NO
KXNCAAMBGAME-26MAR04UNAFGCU-FGCU,NO
KXNCAAMBGAME-26MAR04CLEVWRST-WRST,NO
KXNCAAMBGAME-26MAR04MARQPROV-MARQ,YES
KXNCAAMBGAME-26MAR04TEXARK-ARK,NO
KXNCAAMBGAME-26MAR04MDWIS-WIS,NO
KXNCAAMBGAME-26MAR04LCHISLU-LCHI,YES
KXNCAAMBGAME-26MAR05DRKESIU-DRKE,YES
KXNCAAMBGAME-26MAR05SHSUDEL-DEL,YES
KXNCAAMBGAME-26MAR05MVSUJKST-JKST,NO
KXNCAAMBGAME-26MAR05PVTXSO-PV,YES
KXNCAAMBGAME-26MAR05RUTGMSU-RUTG,YES
KXNCAAMBGAME-26MAR05COPPMORG-MORG,NO
KXNCAAMBGAME-26MAR05MICHIOWA-MICH,NO
KXNCAAMBGAME-26MAR05SOUAAMU-SOU,YES
KXNCAAMBGAME-26MAR05MANFAIR-MAN,YES
KXNCAAMBGAME-26MAR05UVUSUU-SUU,YES
KXNCAAMBGAME-26MAR05ARPBALCN-ARPB,NO
KXNCAAMBGAME-26MAR05KENNUTEP-KENN,NO
KXNCAAMBGAME-26MAR05UCSDCSF-CSF,YES
KXNCAAMBGAME-26MAR05CPUCI-UCI,NO
KXNCAAMBGAME-26MAR05USDLMU-USD,YES
KXNCAAMBGAME-26MAR06UCRVHAW-HAW,NO
KXNCAAMBGAME-26MAR06BELLCARK-BELL,YES
KXNCAAMBGAME-26MAR06WMUKENT-KENT,NO
KXNCAAMBGAME-26MAR06VMIUNCG-VMI,YES
KXNHLGAME-26MAR06MINVGK-MIN,NO
KXNCAAMBGAME-26MAR07XAVVILL-XAV,YES
KXNCAAMBGAME-26MAR07VTUVA-UVA,NO
KXNCAAMBGAME-26MAR07HOUOKST-HOU,NO
KXNCAAMBGAME-26MAR07CONNMARQ-CONN,NO
KXNCAAMBGAME-26MAR07KSUKU-KSU,YES
KXNCAAMBGAME-26MAR07FLAUK-UK,YES
KXNCAAMBGAME-26MAR07ARIZCOLO-ARIZ,NO
KXNBAGAME-26MAR09GSWUTA-UTA,NO
KXNCAAMBGAME-26MAR08LBSUHAW-LBSU,YES
KXNCAAMBGAME-26MAR08UTSARICE-UTSA,YES
KXNHLGAME-26MAR09LACBJ-LA,YES
KXNBAGAME-26MAR11CLEORL-CLE,NO
KXNBAGAME-26MAR11MINLAC-LAC,YES
KXNCAAMBGAME-26MAR10UTAHCIN-CIN,NO
KXNCAAMBGAME-26MAR10KSUBYU-BYU,NO
KXNCAAMBGAME-26MAR11LSUUK-UK,NO
KXNCAAMBGAME-26MAR11AFANEV-NEV,NO
KXNBAGAME-26MAR12DALMEM-MEM,NO
KXNBAGAME-26MAR12CHILAL-CHI,YES
KXNCAAMBGAME-26MAR11ASUISU-ISU,NO
KXNCAAMBGAME-26MAR11LCHIRICH-RICH,NO
KXNCAAMBGAME-26MAR11SMULOU-LOU,NO
KXNCAAMBGAME-26MAR11AFANEV-NEV,NO
KXNCAAMBGAME-26MAR11DSUMORG-DSU,YES
KXNBAGAME-26MAR13CLEDAL-DAL,YES
KXNCAAMBGAME-26MAR12NCSTUVA-UVA,NO
KXNCAAMBGAME-26MAR12PROVSJU-SJU,NO
KXNCAAMBGAME-26MAR12UCFARIZ-ARIZ,NO
KXNCAAMBGAME-26MAR12UNLVUSU-USU,NO
KXNCAAMBGAME-26MAR12AUBTENN-TENN,NO
KXNCAAMBGAME-26MAR12BUFFAKR-BUFF,YES
KXNHLGAME-26MAR14NYRMIN-NYR,YES
