,Date,time,home_team,away_team
0,2025-03-18,,CHC:Chicago Cubs,LAD:Los Angeles Dodgers
1,2025-03-19,,CHC:Chicago Cubs,LAD:Los Angeles Dodgers
2,2025-03-27,,ARI:Arizona D'Backs,CHC:Chicago Cubs
3,2025-03-27,,CHW:Chicago White Sox,LAA:Los Angeles Angels
4,2025-03-27,,CIN:Cincinnati Reds,SFG:San Francisco Giants
5,2025-03-27,,HOU:Houston Astros,NYM:New York Mets
6,2025-03-27,,KCR:Kansas City Royals,CLE:Cleveland Guardians
7,2025-03-27,,LAD:Los Angeles Dodgers,DET:Detroit Tigers
8,2025-03-27,,MIA:Miami Marlins,PIT:Pittsburgh Pirates
9,2025-03-27,,NYY:New York Yankees,MIL:Milwaukee Brewers
10,2025-03-27,,SDP:San Diego Padres,ATL:Atlanta Braves
11,2025-03-27,,SEA:Seattle Mariners,ATH:Athletics
12,2025-03-27,,STL:St. Louis Cardinals,MIN:Minnesota Twins
13,2025-03-27,,TEX:Texas Rangers,BOS:Boston Red Sox
14,2025-03-27,,TOR:Toronto Blue Jays,BAL:Baltimore Orioles
15,2025-03-27,,WSN:Washington Nationals,PHI:Philadelphia Phillies
16,2025-03-28,,ARI:Arizona D'Backs,CHC:Chicago Cubs
17,2025-03-28,,HOU:Houston Astros,NYM:New York Mets
18,2025-03-28,,LAD:Los Angeles Dodgers,DET:Detroit Tigers
19,2025-03-28,,MIA:Miami Marlins,PIT:Pittsburgh Pirates
20,2025-03-28,,SDP:San Diego Padres,ATL:Atlanta Braves
21,2025-03-28,,SEA:Seattle Mariners,ATH:Athletics
22,2025-03-28,,TBR:Tampa Bay Rays,COL:Colorado Rockies
23,2025-03-28,,TEX:Texas Rangers,BOS:Boston Red Sox
24,2025-03-28,,TOR:Toronto Blue Jays,BAL:Baltimore Orioles
25,2025-03-29,,ARI:Arizona D'Backs,CHC:Chicago Cubs
26,2025-03-29,,CHW:Chicago White Sox,LAA:Los Angeles Angels
27,2025-03-29,,CIN:Cincinnati Reds,SFG:San Francisco Giants
28,2025-03-29,,HOU:Houston Astros,NYM:New York Mets
29,2025-03-29,,KCR:Kansas City Royals,CLE:Cleveland Guardians
30,2025-03-29,,LAD:Los Angeles Dodgers,DET:Detroit Tigers
31,2025-03-29,,MIA:Miami Marlins,PIT:Pittsburgh Pirates
32,2025-03-29,,NYY:New York Yankees,MIL:Milwaukee Brewers
33,2025-03-29,,SDP:San Diego Padres,ATL:Atlanta Braves
34,2025-03-29,,SEA:Seattle Mariners,ATH:Athletics
35,2025-03-29,,STL:St. Louis Cardinals,MIN:Minnesota Twins
36,2025-03-29,,TBR:Tampa Bay Rays,COL:Colorado Rockies
37,2025-03-29,,TEX:Texas Rangers,BOS:Boston Red Sox
38,2025-03-29,,TOR:Toronto Blue Jays,BAL:Baltimore Orioles
39,2025-03-29,,WSN:Washington Nationals,PHI:Philadelphia Phillies
40,2025-03-30,,ARI:Arizona D'Backs,CHC:Chicago Cubs
41,2025-03-30,,CHW:Chicago White Sox,LAA:Los Angeles Angels
42,2025-03-30,,CIN:Cincinnati Reds,SFG:San Francisco Giants
43,2025-03-30,,KCR:Kansas City Royals,CLE:Cleveland Guardians
44,2025-03-30,,MIA:Miami Marlins,PIT:Pittsburgh Pirates
45,2025-03-30,,NYY:New York Yankees,MIL:Milwaukee Brewers
46,2025-03-30,,SDP:San Diego Padres,ATL:Atlanta Braves
47,2025-03-30,,SEA:Seattle Mariners,ATH:Athletics
48,2025-03-30,,STL:St. Louis Cardinals,MIN:Minnesota Twins
49,2025-03-30,,TBR:Tampa Bay Rays,COL:Colorado Rockies
50,2025-03-30,,TEX:Texas Rangers,BOS:Boston Red Sox
51,2025-03-30,,TOR:Toronto Blue Jays,BAL:Baltimore Orioles
52,2025-03-30,,WSN:Washington Nationals,PHI:Philadelphia Phillies
53,2025-03-31,,ATH:Athletics,CHC:Chicago Cubs
54,2025-03-31,,BAL:Baltimore Orioles,BOS:Boston Red Sox
55,2025-03-31,,CHW:Chicago White Sox,MIN:Minnesota Twins
56,2025-03-31,,CIN:Cincinnati Reds,TEX:Texas Rangers
57,2025-03-31,,HOU:Houston Astros,SFG:San Francisco Giants
58,2025-03-31,,LAD:Los Angeles Dodgers,ATL:Atlanta Braves
59,2025-03-31,,MIA:Miami Marlins,NYM:New York Mets
60,2025-03-31,,MIL:Milwaukee Brewers,KCR:Kansas City Royals
61,2025-03-31,,PHI:Philadelphia Phillies,COL:Colorado Rockies
62,2025-03-31,,SDP:San Diego Padres,CLE:Cleveland Guardians
63,2025-03-31,,SEA:Seattle Mariners,DET:Detroit Tigers
64,2025-03-31,,STL:St. Louis Cardinals,LAA:Los Angeles Angels
65,2025-03-31,,TBR:Tampa Bay Rays,PIT:Pittsburgh Pirates
66,2025-03-31,,TOR:Toronto Blue Jays,WSN:Washington Nationals
67,2025-04-01,,ATH:Athletics,CHC:Chicago Cubs
68,2025-04-01,,CHW:Chicago White Sox,MIN:Minnesota Twins
69,2025-04-01,,CIN:Cincinnati Reds,TEX:Texas Rangers
70,2025-04-01,,HOU:Houston Astros,SFG:San Francisco Giants
71,2025-04-01,,LAD:Los Angeles Dodgers,ATL:Atlanta Braves
72,2025-04-01,,MIA:Miami Marlins,NYM:New York Mets
73,2025-04-01,,MIL:Milwaukee Brewers,KCR:Kansas City Royals
74,2025-04-01,,NYY:New York Yankees,ARI:Arizona D'Backs
75,2025-04-01,,SDP:San Diego Padres,CLE:Cleveland Guardians
76,2025-04-01,,SEA:Seattle Mariners,DET:Detroit Tigers
77,2025-04-01,,STL:St. Louis Cardinals,LAA:Los Angeles Angels
78,2025-04-01,,TBR:Tampa Bay Rays,PIT:Pittsburgh Pirates
79,2025-04-01,,TOR:Toronto Blue Jays,WSN:Washington Nationals
80,2025-04-02,,ATH:Athletics,CHC:Chicago Cubs
81,2025-04-02,,BAL:Baltimore Orioles,BOS:Boston Red Sox
82,2025-04-02,,CHW:Chicago White Sox,MIN:Minnesota Twins
83,2025-04-02,,CIN:Cincinnati Reds,TEX:Texas Rangers
84,2025-04-02,,HOU:Houston Astros,SFG:San Francisco Giants
85,2025-04-02,,LAD:Los Angeles Dodgers,ATL:Atlanta Braves
86,2025-04-02,,MIA:Miami Marlins,NYM:New York Mets
87,2025-04-02,,MIL:Milwaukee Brewers,KCR:Kansas City Royals
88,2025-04-02,,NYY:New York Yankees,ARI:Arizona D'Backs
89,2025-04-02,,PHI:Philadelphia Phillies,COL:Colorado Rockies
